chainage,date,parameter,value,alert
4.7,2025-10-19,gauge,2.25,ok
4.8,2025-10-19,gauge,2.34,ok
4.9,2025-10-19,gauge,2.08,ok
5.0,2025-10-19,gauge,2.61,ok
5.1,2025-10-19,gauge,2.18,ok
5.2,2025-10-19,gauge,2.62,ok
5.3,2025-10-19,gauge,2.65,ok
5.4,2025-10-19,gauge,2.87,ok
5.5,2025-10-19,gauge,2.78,ok
5.6,2025-10-19,gauge,3.02,ok
5.7,2025-10-19,gauge,2.58,ok
5.8,2025-10-19,gauge,3.42,ok
5.9,2025-10-19,gauge,3.06,ok
6.0,2025-10-19,gauge,2.45,ok
6.1,2025-10-19,gauge,2.44,ok
6.2,2025-10-19,gauge,2.0,ok
6.3,2025-10-19,gauge,2.26,ok
6.4,2025-10-19,gauge,2.33,ok
6.5,2025-10-19,gauge,2.31,ok
6.6,2025-10-19,gauge,2.96,ok
6.7,2025-10-19,gauge,2.54,ok
6.8,2025-10-19,gauge,2.77,ok
6.9,2025-10-19,gauge,2.55,ok
7.0,2025-10-19,gauge,2.61,ok
7.1,2025-10-19,gauge,2.88,ok
7.2,2025-10-19,gauge,2.82,ok
7.3,2025-10-19,gauge,2.13,ok
7.4,2025-10-19,gauge,2.59,ok
7.5,2025-10-19,gauge,2.47,ok
7.6,2025-10-19,gauge,2.39,ok
7.7,2025-10-19,gauge,2.21,ok
7.8,2025-10-19,gauge,2.22,ok
7.9,2025-10-19,gauge,2.47,ok
8.0,2025-10-19,gauge,2.64,ok
8.1,2025-10-19,gauge,2.92,ok
8.2,2025-10-19,gauge,3.19,ok
8.3,2025-10-19,gauge,2.7,ok
8.4,2025-10-19,gauge,2.71,ok
8.5,2025-10-19,gauge,2.73,ok
8.6,2025-10-19,gauge,2.53,ok
8.7,2025-10-19,gauge,2.02,ok
8.8,2025-10-19,gauge,2.13,ok
8.9,2025-10-19,gauge,2.25,ok
9.0,2025-10-19,gauge,2.27,ok
9.1,2025-10-19,gauge,2.37,ok
9.2,2025-10-19,gauge,2.04,ok
9.3,2025-10-19,gauge,2.41,ok
9.4,2025-10-19,gauge,2.68,ok
9.5,2025-10-19,gauge,2.66,ok
9.6,2025-10-19,gauge,2.43,ok
9.7,2025-10-19,gauge,2.2,ok
9.8,2025-10-19,gauge,2.63,ok
9.9,2025-10-19,gauge,2.34,ok
10.0,2025-10-19,gauge,2.39,ok
10.1,2025-10-19,gauge,2.12,ok
10.2,2025-10-19,gauge,2.18,ok
10.3,2025-10-19,gauge,2.49,ok
10.4,2025-10-19,gauge,2.41,ok
10.5,2025-10-19,gauge,2.58,ok
10.6,2025-10-19,gauge,2.83,ok
10.7,2025-10-19,gauge,2.57,ok
10.8,2025-10-19,gauge,2.57,ok
10.9,2025-10-19,gauge,2.33,ok
11.0,2025-10-19,gauge,2.32,ok
11.1,2025-10-19,gauge,3.14,ok
11.2,2025-10-19,gauge,2.48,ok
11.3,2025-10-19,gauge,2.55,ok
11.4,2025-10-19,gauge,2.96,ok
11.5,2025-10-19,gauge,3.05,ok
11.6,2025-10-19,gauge,2.67,ok
11.7,2025-10-19,gauge,3.05,ok
11.8,2025-10-19,gauge,3.45,ok
11.9,2025-10-19,gauge,2.79,ok
12.0,2025-10-19,gauge,2.49,ok
12.1,2025-10-19,gauge,2.89,ok
12.2,2025-10-19,gauge,2.49,ok
12.3,2025-10-19,gauge,2.22,ok
12.4,2025-10-19,gauge,1.74,ok
12.5,2025-10-19,gauge,1.93,ok
12.6,2025-10-19,gauge,2.07,ok
12.7,2025-10-19,gauge,2.56,ok
12.8,2025-10-19,gauge,2.12,ok
12.9,2025-10-19,gauge,2.82,ok
13.0,2025-10-19,gauge,3.31,ok
13.1,2025-10-19,gauge,2.57,ok
13.2,2025-10-19,gauge,3.55,ok
13.3,2025-10-19,gauge,2.81,ok
13.4,2025-10-19,gauge,3.22,ok
13.5,2025-10-19,gauge,2.98,ok
13.6,2025-10-19,gauge,2.9,ok
13.7,2025-10-19,gauge,2.3,ok
13.8,2025-10-19,gauge,1.44,ok
13.9,2025-10-19,gauge,2.13,ok
14.0,2025-10-19,gauge,2.67,ok
14.1,2025-10-19,gauge,2.53,ok
14.2,2025-10-19,gauge,2.68,ok
14.3,2025-10-19,gauge,2.6,ok
14.4,2025-10-19,gauge,2.57,ok
14.5,2025-10-19,gauge,2.36,ok
14.6,2025-10-19,gauge,2.01,ok
14.7,2025-10-19,gauge,2.38,ok
14.8,2025-10-19,gauge,2.76,ok
14.9,2025-10-19,gauge,2.43,ok
15.0,2025-10-19,gauge,2.95,ok
15.1,2025-10-19,gauge,2.97,ok
15.2,2025-10-19,gauge,2.67,ok
15.3,2025-10-19,gauge,1.86,ok
15.4,2025-10-19,gauge,2.22,ok
15.5,2025-10-19,gauge,3.05,ok
15.6,2025-10-19,gauge,2.34,ok
15.7,2025-10-19,gauge,2.23,ok
15.8,2025-10-19,gauge,3.27,ok
15.9,2025-10-19,gauge,3.01,ok
16.0,2025-10-19,gauge,3.03,ok
16.1,2025-10-19,gauge,2.83,ok
16.2,2025-10-19,gauge,2.82,ok
16.3,2025-10-19,gauge,2.86,ok
16.4,2025-10-19,gauge,2.67,ok
16.5,2025-10-19,gauge,2.88,ok
16.6,2025-10-19,gauge,2.57,ok
16.7,2025-10-19,gauge,2.09,ok
16.8,2025-10-19,gauge,2.74,ok
16.9,2025-10-19,gauge,2.86,ok
17.0,2025-10-19,gauge,2.97,ok
17.1,2025-10-19,gauge,2.86,ok
17.2,2025-10-19,gauge,3.48,ok
17.3,2025-10-19,gauge,3.34,ok
17.4,2025-10-19,gauge,3.72,ok
17.5,2025-10-19,gauge,2.86,ok
17.6,2025-10-19,gauge,3.14,ok
17.7,2025-10-19,gauge,3.18,ok
17.8,2025-10-19,gauge,2.8,ok
17.9,2025-10-19,gauge,2.49,ok
18.0,2025-10-19,gauge,2.25,ok
18.1,2025-10-19,gauge,2.96,ok
18.2,2025-10-19,gauge,3.1,ok
18.3,2025-10-19,gauge,2.62,ok
18.4,2025-10-19,gauge,3.44,ok
18.5,2025-10-19,gauge,2.93,ok
18.6,2025-10-19,gauge,3.34,ok
18.7,2025-10-19,gauge,2.93,ok
18.8,2025-10-19,gauge,2.81,ok
18.9,2025-10-19,gauge,2.69,ok
19.0,2025-10-19,gauge,3.01,ok
19.1,2025-10-19,gauge,2.51,ok
19.2,2025-10-19,gauge,2.95,ok
19.3,2025-10-19,gauge,3.05,ok
19.4,2025-10-19,gauge,2.87,ok
19.5,2025-10-19,gauge,2.84,ok
19.6,2025-10-19,gauge,3.33,ok
19.7,2025-10-19,gauge,2.57,ok
19.8,2025-10-19,gauge,2.55,ok
19.9,2025-10-19,gauge,2.49,ok
20.0,2025-10-19,gauge,2.4,ok
20.1,2025-10-19,gauge,2.13,ok
20.2,2025-10-19,gauge,1.58,ok
20.3,2025-10-19,gauge,2.37,ok
20.4,2025-10-19,gauge,1.68,ok
20.5,2025-10-19,gauge,2.79,ok
20.6,2025-10-19,gauge,2.68,ok
20.7,2025-10-19,gauge,3.01,ok
20.8,2025-10-19,gauge,2.56,ok
20.9,2025-10-19,gauge,2.53,ok
21.0,2025-10-19,gauge,2.93,ok
21.1,2025-10-19,gauge,2.88,ok
21.2,2025-10-19,gauge,2.83,ok
21.3,2025-10-19,gauge,2.88,ok
21.4,2025-10-19,gauge,3.4,ok
21.5,2025-10-19,gauge,2.71,ok
21.6,2025-10-19,gauge,2.82,ok
21.7,2025-10-19,gauge,3.18,ok
21.8,2025-10-19,gauge,3.62,ok
21.9,2025-10-19,gauge,3.03,ok
22.0,2025-10-19,gauge,2.47,ok
22.1,2025-10-19,gauge,2.92,ok
22.2,2025-10-19,gauge,3.1,ok
22.3,2025-10-19,gauge,2.63,ok
22.4,2025-10-19,gauge,2.68,ok
22.5,2025-10-19,gauge,2.2,ok
22.6,2025-10-19,gauge,2.82,ok
22.7,2025-10-19,gauge,2.38,ok
22.8,2025-10-19,gauge,2.52,ok
22.9,2025-10-19,gauge,2.45,ok
23.0,2025-10-19,gauge,2.17,ok
23.1,2025-10-19,gauge,1.96,ok
23.2,2025-10-19,gauge,1.67,ok
23.3,2025-10-19,gauge,1.26,ok
23.4,2025-10-19,gauge,1.98,ok
23.5,2025-10-19,gauge,2.32,ok
23.6,2025-10-19,gauge,2.53,ok
23.7,2025-10-19,gauge,2.55,ok
23.8,2025-10-19,gauge,2.9,ok
23.9,2025-10-19,gauge,2.59,ok
24.0,2025-10-19,gauge,2.84,ok
24.1,2025-10-19,gauge,3.21,ok
24.2,2025-10-19,gauge,3.53,ok
24.3,2025-10-19,gauge,3.64,ok
24.4,2025-10-19,gauge,3.55,ok
24.5,2025-10-19,gauge,2.88,ok
24.6,2025-10-19,gauge,2.47,ok
24.7,2025-10-19,gauge,3.13,ok
24.8,2025-10-19,gauge,2.62,ok
24.9,2025-10-19,gauge,2.79,ok
25.0,2025-10-19,gauge,2.42,ok
25.1,2025-10-19,gauge,2.98,ok
25.2,2025-10-19,gauge,2.45,ok
25.3,2025-10-19,gauge,1.82,ok
25.4,2025-10-19,gauge,2.49,ok
25.5,2025-10-19,gauge,2.27,ok
25.6,2025-10-19,gauge,2.62,ok
25.7,2025-10-19,gauge,2.78,ok
25.8,2025-10-19,gauge,2.81,ok
25.9,2025-10-19,gauge,3.13,ok
26.0,2025-10-19,gauge,2.48,ok
26.1,2025-10-19,gauge,2.73,ok
26.2,2025-10-19,gauge,3.03,ok
26.3,2025-10-19,gauge,2.54,ok
26.4,2025-10-19,gauge,2.52,ok
26.5,2025-10-19,gauge,3.29,ok
26.6,2025-10-19,gauge,3.46,ok
26.7,2025-10-19,gauge,3.05,ok
26.8,2025-10-19,gauge,2.48,ok
26.9,2025-10-19,gauge,3.31,ok
27.0,2025-10-19,gauge,2.72,ok
27.1,2025-10-19,gauge,3.04,ok
27.2,2025-10-19,gauge,2.29,ok
27.3,2025-10-19,gauge,2.29,ok
27.4,2025-10-19,gauge,2.64,ok
27.5,2025-10-19,gauge,2.71,ok
27.6,2025-10-19,gauge,2.37,ok
27.7,2025-10-19,gauge,2.7,ok
27.8,2025-10-19,gauge,2.37,ok
27.9,2025-10-19,gauge,2.94,ok
28.0,2025-10-19,gauge,2.62,ok
28.1,2025-10-19,gauge,2.27,ok
28.2,2025-10-19,gauge,2.38,ok
28.3,2025-10-19,gauge,2.42,ok
28.4,2025-10-19,gauge,2.58,ok
28.5,2025-10-19,gauge,2.37,ok
28.6,2025-10-19,gauge,1.88,ok
28.7,2025-10-19,gauge,2.43,ok
28.8,2025-10-19,gauge,2.32,ok
28.9,2025-10-19,gauge,2.74,ok
29.0,2025-10-19,gauge,1.71,ok
29.1,2025-10-19,gauge,2.33,ok
29.2,2025-10-19,gauge,2.85,ok
29.3,2025-10-19,gauge,3.01,ok
29.4,2025-10-19,gauge,2.36,ok
29.5,2025-10-19,gauge,2.43,ok
29.6,2025-10-19,gauge,2.86,ok
29.7,2025-10-19,gauge,1.98,ok
29.8,2025-10-19,gauge,2.05,ok
29.9,2025-10-19,gauge,2.75,ok
30.0,2025-10-19,gauge,3.35,ok
30.1,2025-10-19,gauge,3.01,ok
30.2,2025-10-19,gauge,3.22,ok
30.3,2025-10-19,gauge,3.86,ok
30.4,2025-10-19,gauge,4.22,ok
30.5,2025-10-19,gauge,3.44,ok
30.6,2025-10-19,gauge,3.48,ok
30.7,2025-10-19,gauge,3.76,ok
30.8,2025-10-19,gauge,2.61,ok
30.9,2025-10-19,gauge,3.37,ok
31.0,2025-10-19,gauge,2.44,ok
31.1,2025-10-19,gauge,2.79,ok
31.2,2025-10-19,gauge,2.57,ok
31.3,2025-10-19,gauge,2.56,ok
31.4,2025-10-19,gauge,2.64,ok
31.5,2025-10-19,gauge,3.31,ok
31.6,2025-10-19,gauge,3.47,ok
31.7,2025-10-19,gauge,3.11,ok
31.8,2025-10-19,gauge,3.06,ok
31.9,2025-10-19,gauge,3.07,ok
32.0,2025-10-19,gauge,2.43,ok
32.1,2025-10-19,gauge,2.99,ok
32.2,2025-10-19,gauge,2.86,ok
32.3,2025-10-19,gauge,3.16,ok
32.4,2025-10-19,gauge,2.43,ok
32.5,2025-10-19,gauge,2.42,ok
32.6,2025-10-19,gauge,2.74,ok
32.7,2025-10-19,gauge,2.74,ok
32.8,2025-10-19,gauge,2.22,ok
32.9,2025-10-19,gauge,2.32,ok
33.0,2025-10-19,gauge,2.74,ok
33.1,2025-10-19,gauge,2.21,ok
33.2,2025-10-19,gauge,2.36,ok
33.3,2025-10-19,gauge,2.66,ok
33.4,2025-10-19,gauge,3.04,ok
33.5,2025-10-19,gauge,2.78,ok
33.6,2025-10-19,gauge,2.03,ok
33.7,2025-10-19,gauge,1.86,ok
33.8,2025-10-19,gauge,2.4,ok
33.9,2025-10-19,gauge,2.15,ok
34.0,2025-10-19,gauge,2.64,ok
34.1,2025-10-19,gauge,2.36,ok
34.2,2025-10-19,gauge,2.39,ok
34.3,2025-10-19,gauge,2.56,ok
34.4,2025-10-19,gauge,2.83,ok
34.5,2025-10-19,gauge,3.37,ok
34.6,2025-10-19,gauge,3.42,ok
34.7,2025-10-19,gauge,3.09,ok
34.8,2025-10-19,gauge,2.95,ok
34.9,2025-10-19,gauge,2.74,ok
35.0,2025-10-19,gauge,3.0,ok
35.1,2025-10-19,gauge,2.94,ok
35.2,2025-10-19,gauge,2.45,ok
35.3,2025-10-19,gauge,2.8,ok
35.4,2025-10-19,gauge,2.08,ok
35.5,2025-10-19,gauge,2.63,ok
35.6,2025-10-19,gauge,3.08,ok
35.7,2025-10-19,gauge,2.73,ok
35.8,2025-10-19,gauge,3.21,ok
35.9,2025-10-19,gauge,2.45,ok
36.0,2025-10-19,gauge,2.73,ok
36.1,2025-10-19,gauge,2.8,ok
36.2,2025-10-19,gauge,2.97,ok
36.3,2025-10-19,gauge,2.88,ok
36.4,2025-10-19,gauge,3.15,ok
36.5,2025-10-19,gauge,3.53,ok
36.6,2025-10-19,gauge,3.94,ok
36.7,2025-10-19,gauge,3.43,ok
36.8,2025-10-19,gauge,3.4,ok
36.9,2025-10-19,gauge,3.02,ok
37.0,2025-10-19,gauge,3.25,ok
37.1,2025-10-19,gauge,2.74,ok
37.2,2025-10-19,gauge,3.34,ok
37.3,2025-10-19,gauge,3.14,ok
37.4,2025-10-19,gauge,2.37,ok
37.5,2025-10-19,gauge,1.86,ok
37.6,2025-10-19,gauge,2.0,ok
37.7,2025-10-19,gauge,2.6,ok
37.8,2025-10-19,gauge,2.47,ok
37.9,2025-10-19,gauge,2.25,ok
38.0,2025-10-19,gauge,2.48,ok
38.1,2025-10-19,gauge,2.2,ok
38.2,2025-10-19,gauge,2.61,ok
38.3,2025-10-19,gauge,2.58,ok
38.4,2025-10-19,gauge,2.74,ok
38.5,2025-10-19,gauge,2.45,ok
38.6,2025-10-19,gauge,2.58,ok
38.7,2025-10-19,gauge,2.53,ok
38.8,2025-10-19,gauge,2.78,ok
38.9,2025-10-19,gauge,3.46,ok
39.0,2025-10-19,gauge,3.03,ok
39.1,2025-10-19,gauge,3.11,ok
39.2,2025-10-19,gauge,2.86,ok
39.3,2025-10-19,gauge,2.75,ok
39.4,2025-10-19,gauge,2.77,ok
39.5,2025-10-19,gauge,3.19,ok
39.6,2025-10-19,gauge,2.85,ok
39.7,2025-10-19,gauge,2.31,ok
39.8,2025-10-19,gauge,2.85,ok
39.9,2025-10-19,gauge,3.1,ok
40.0,2025-10-19,gauge,2.29,ok
40.1,2025-10-19,gauge,1.72,ok
40.2,2025-10-19,gauge,2.35,ok
40.3,2025-10-19,gauge,1.98,ok
40.4,2025-10-19,gauge,1.88,ok
40.5,2025-10-19,gauge,1.66,ok
40.6,2025-10-19,gauge,2.33,ok
40.7,2025-10-19,gauge,2.2,ok
40.8,2025-10-19,gauge,3.02,ok
40.9,2025-10-19,gauge,3.15,ok
41.0,2025-10-19,gauge,3.33,ok
41.1,2025-10-19,gauge,3.22,ok
41.2,2025-10-19,gauge,3.06,ok
41.3,2025-10-19,gauge,3.29,ok
41.4,2025-10-19,gauge,2.44,ok
41.5,2025-10-19,gauge,1.95,ok
41.6,2025-10-19,gauge,2.52,ok
41.7,2025-10-19,gauge,2.45,ok
41.8,2025-10-19,gauge,2.62,ok
41.9,2025-10-19,gauge,2.53,ok
42.0,2025-10-19,gauge,2.46,ok
42.1,2025-10-19,gauge,2.82,ok
42.2,2025-10-19,gauge,2.77,ok
42.3,2025-10-19,gauge,2.68,ok
42.4,2025-10-19,gauge,2.38,ok
42.5,2025-10-19,gauge,2.91,ok
42.6,2025-10-19,gauge,2.0,ok
42.7,2025-10-19,gauge,2.48,ok
42.8,2025-10-19,gauge,1.89,ok
42.9,2025-10-19,gauge,2.17,ok
43.0,2025-10-19,gauge,2.15,ok
43.1,2025-10-19,gauge,1.92,ok
43.2,2025-10-19,gauge,2.51,ok
43.3,2025-10-19,gauge,2.43,ok
43.4,2025-10-19,gauge,2.2,ok
43.5,2025-10-19,gauge,3.09,ok
43.6,2025-10-19,gauge,3.14,ok
43.7,2025-10-19,gauge,3.24,ok
43.8,2025-10-19,gauge,2.92,ok
43.9,2025-10-19,gauge,2.93,ok
44.0,2025-10-19,gauge,3.28,ok
44.1,2025-10-19,gauge,3.19,ok
44.2,2025-10-19,gauge,3.13,ok
44.3,2025-10-19,gauge,3.01,ok
44.4,2025-10-19,gauge,3.45,ok
44.5,2025-10-19,gauge,3.57,ok
44.6,2025-10-19,gauge,2.84,ok
44.7,2025-10-19,gauge,3.54,ok
44.8,2025-10-19,gauge,3.94,ok
44.9,2025-10-19,gauge,3.49,ok
45.0,2025-10-19,gauge,3.46,ok
45.1,2025-10-19,gauge,2.89,ok
45.2,2025-10-19,gauge,2.7,ok
45.3,2025-10-19,gauge,2.6,ok
45.4,2025-10-19,gauge,1.87,ok
45.5,2025-10-19,gauge,1.8,ok
45.6,2025-10-19,gauge,2.3,ok
45.7,2025-10-19,gauge,2.29,ok
45.8,2025-10-19,gauge,1.86,ok
45.9,2025-10-19,gauge,2.64,ok
46.0,2025-10-19,gauge,2.44,ok
46.1,2025-10-19,gauge,2.86,ok
46.2,2025-10-19,gauge,2.99,ok
46.3,2025-10-19,gauge,3.15,ok
46.4,2025-10-19,gauge,2.97,ok
46.5,2025-10-19,gauge,3.16,ok
46.6,2025-10-19,gauge,2.68,ok
46.7,2025-10-19,gauge,3.02,ok
46.8,2025-10-19,gauge,2.44,ok
46.9,2025-10-19,gauge,3.3,ok
47.0,2025-10-19,gauge,3.21,ok
47.1,2025-10-19,gauge,3.28,ok
47.2,2025-10-19,gauge,2.76,ok
47.3,2025-10-19,gauge,3.03,ok
47.4,2025-10-19,gauge,3.52,ok
47.5,2025-10-19,gauge,3.4,ok
47.6,2025-10-19,gauge,2.79,ok
47.7,2025-10-19,gauge,3.15,ok
47.8,2025-10-19,gauge,2.75,ok
47.9,2025-10-19,gauge,2.98,ok
48.0,2025-10-19,gauge,2.65,ok
48.1,2025-10-19,gauge,2.8,ok
48.2,2025-10-19,gauge,3.11,ok
48.3,2025-10-19,gauge,2.54,ok
48.4,2025-10-19,gauge,2.67,ok
48.5,2025-10-19,gauge,2.79,ok
48.6,2025-10-19,gauge,3.3,ok
48.7,2025-10-19,gauge,2.39,ok
48.8,2025-10-19,gauge,2.12,ok
48.9,2025-10-19,gauge,2.49,ok
49.0,2025-10-19,gauge,1.95,ok
49.1,2025-10-19,gauge,2.12,ok
49.2,2025-10-19,gauge,1.88,ok
49.3,2025-10-19,gauge,1.99,ok
49.4,2025-10-19,gauge,2.21,ok
49.5,2025-10-19,gauge,2.13,ok
49.6,2025-10-19,gauge,1.85,ok
49.7,2025-10-19,gauge,3.01,ok
49.8,2025-10-19,gauge,2.26,ok
49.9,2025-10-19,gauge,2.07,ok
50.0,2025-10-19,gauge,2.83,ok
50.1,2025-10-19,gauge,2.46,ok
50.2,2025-10-19,gauge,2.6,ok
50.3,2025-10-19,gauge,2.79,ok
50.4,2025-10-19,gauge,2.87,ok
50.5,2025-10-19,gauge,2.95,ok
50.6,2025-10-19,gauge,2.45,ok
50.7,2025-10-19,gauge,2.68,ok
50.8,2025-10-19,gauge,2.83,ok
50.9,2025-10-19,gauge,2.69,ok
51.0,2025-10-19,gauge,3.14,ok
51.1,2025-10-19,gauge,3.04,ok
51.2,2025-10-19,gauge,3.14,ok
51.3,2025-10-19,gauge,3.28,ok
51.4,2025-10-19,gauge,2.76,ok
51.5,2025-10-19,gauge,3.06,ok
51.6,2025-10-19,gauge,3.12,ok
51.7,2025-10-19,gauge,2.76,ok
51.8,2025-10-19,gauge,3.22,ok
51.9,2025-10-19,gauge,3.18,ok
52.0,2025-10-19,gauge,2.98,ok
52.1,2025-10-19,gauge,2.96,ok
52.2,2025-10-19,gauge,3.3,ok
52.3,2025-10-19,gauge,2.87,ok
52.4,2025-10-19,gauge,3.23,ok
52.5,2025-10-19,gauge,2.43,ok
52.6,2025-10-19,gauge,2.69,ok
52.7,2025-10-19,gauge,2.99,ok
52.8,2025-10-19,gauge,2.25,ok
52.9,2025-10-19,gauge,1.84,ok
53.0,2025-10-19,gauge,2.66,ok
53.1,2025-10-19,gauge,1.81,ok
53.2,2025-10-19,gauge,2.12,ok
53.3,2025-10-19,gauge,1.92,ok
53.4,2025-10-19,gauge,2.2,ok
53.5,2025-10-19,gauge,1.69,ok
53.6,2025-10-19,gauge,2.18,ok
53.7,2025-10-19,gauge,2.48,ok
53.8,2025-10-19,gauge,2.17,ok
53.9,2025-10-19,gauge,2.45,ok
54.0,2025-10-19,gauge,2.6,ok
54.1,2025-10-19,gauge,2.38,ok
54.2,2025-10-19,gauge,2.76,ok
54.3,2025-10-19,gauge,2.96,ok
54.4,2025-10-19,gauge,3.06,ok
54.5,2025-10-19,gauge,3.21,ok
54.6,2025-10-19,gauge,3.15,ok
54.7,2025-10-19,gauge,2.8,ok
54.8,2025-10-19,gauge,2.98,ok
54.9,2025-10-19,gauge,2.95,ok
55.0,2025-10-19,gauge,2.28,ok
55.1,2025-10-19,gauge,2.27,ok
55.2,2025-10-19,gauge,2.13,ok
55.3,2025-10-19,gauge,2.34,ok
55.4,2025-10-19,gauge,2.66,ok
55.5,2025-10-19,gauge,2.62,ok
55.6,2025-10-19,gauge,2.26,ok
55.7,2025-10-19,gauge,2.95,ok
55.8,2025-10-19,gauge,3.09,ok
55.9,2025-10-19,gauge,2.73,ok
56.0,2025-10-19,gauge,3.07,ok
56.1,2025-10-19,gauge,2.53,ok
56.2,2025-10-19,gauge,2.19,ok
56.3,2025-10-19,gauge,2.57,ok
56.4,2025-10-19,gauge,1.96,ok
56.5,2025-10-19,gauge,2.48,ok
56.6,2025-10-19,gauge,2.63,ok
56.7,2025-10-19,gauge,1.92,ok
56.8,2025-10-19,gauge,2.43,ok
56.9,2025-10-19,gauge,2.48,ok
57.0,2025-10-19,gauge,2.75,ok
57.1,2025-10-19,gauge,2.48,ok
57.2,2025-10-19,gauge,2.78,ok
57.3,2025-10-19,gauge,2.81,ok
57.4,2025-10-19,gauge,2.37,ok
57.5,2025-10-19,gauge,2.21,ok
57.6,2025-10-19,gauge,2.57,ok
57.7,2025-10-19,gauge,2.03,ok
57.8,2025-10-19,gauge,2.7,ok
57.9,2025-10-19,gauge,2.34,ok
58.0,2025-10-19,gauge,3.11,ok
58.1,2025-10-19,gauge,3.19,ok
58.2,2025-10-19,gauge,2.87,ok
58.3,2025-10-19,gauge,2.74,ok
58.4,2025-10-19,gauge,2.83,ok
58.5,2025-10-19,gauge,1.9,ok
58.6,2025-10-19,gauge,2.67,ok
58.7,2025-10-19,gauge,2.28,ok
58.8,2025-10-19,gauge,2.56,ok
58.9,2025-10-19,gauge,2.76,ok
59.0,2025-10-19,gauge,2.09,ok
59.1,2025-10-19,gauge,2.08,ok
59.2,2025-10-19,gauge,2.44,ok
59.3,2025-10-19,gauge,2.71,ok
59.4,2025-10-19,gauge,2.71,ok
59.5,2025-10-19,gauge,2.54,ok
59.6,2025-10-19,gauge,2.82,ok
59.7,2025-10-19,gauge,2.57,ok
59.8,2025-10-19,gauge,2.94,ok
59.9,2025-10-19,gauge,3.41,ok
60.0,2025-10-19,gauge,2.53,ok
0.0,2025-11-24,gauge,2.54,ok
0.1,2025-11-24,gauge,2.84,ok
0.2,2025-11-24,gauge,3.45,ok
0.3,2025-11-24,gauge,2.6,ok
0.4,2025-11-24,gauge,2.74,ok
0.5,2025-11-24,gauge,2.81,ok
0.6,2025-11-24,gauge,3.52,ok
0.7,2025-11-24,gauge,3.1,ok
0.8,2025-11-24,gauge,2.97,ok
0.9,2025-11-24,gauge,2.91,ok
1.0,2025-11-24,gauge,2.74,ok
1.1,2025-11-24,gauge,2.77,ok
1.2,2025-11-24,gauge,3.37,ok
1.3,2025-11-24,gauge,3.34,ok
1.4,2025-11-24,gauge,2.66,ok
1.5,2025-11-24,gauge,3.14,ok
1.6,2025-11-24,gauge,2.56,ok
1.7,2025-11-24,gauge,2.4,ok
1.8,2025-11-24,gauge,3.21,ok
1.9,2025-11-24,gauge,3.37,ok
2.0,2025-11-24,gauge,3.26,ok
2.1,2025-11-24,gauge,3.16,ok
2.2,2025-11-24,gauge,3.25,ok
2.3,2025-11-24,gauge,3.46,ok
2.4,2025-11-24,gauge,3.17,ok
2.5,2025-11-24,gauge,3.0,ok
2.6,2025-11-24,gauge,3.47,ok
2.7,2025-11-24,gauge,3.74,ok
2.8,2025-11-24,gauge,3.53,ok
2.9,2025-11-24,gauge,2.9,ok
3.0,2025-11-24,gauge,3.57,ok
3.1,2025-11-24,gauge,3.73,ok
3.2,2025-11-24,gauge,3.95,ok
3.3,2025-11-24,gauge,3.77,ok
